Student ID,Course,Degree,CGPA,Year,Placement
2008P0001P,Mechanical Engineering,B.Pharm,8.19,4,Lime
2008A0006A,Mathematics,B.E,9.07,4,BLEND360
2008A0011A,Economics and Finanace,B.E,9.8,4,UBS
2008A0015A,Chemical Engineering,B.E,7.03,4,PPG Industries
2008A0017A,Physics,B.E,5.86,4,Unplaced
2008A0021A,Civil Engineering,B.E,9.51,4,WSP Global
2008A0028A,Mechanical Engineering,B.E,9.17,4,Infineon
2008A0033A,Chemical Engineering,B.E,6.7,4,Praxair
2008A0036A,Mathematics,B.E,9.71,4,Trilogy
2008A0037A,Chemisty,B.E,8.4,4,Procter & Gamble
2008S0045S,Electrical and Electronics Engineering,M.Sc,7.24,4,Microsemi
2008P0048P,Electrical and Electronics Engineering,B.Pharm,5.06,4,MICROCHIP
2008H0050H,Mechanical Engineering,M.E,7.61,4,Bosch
2008H0053H,Chemisty,M.E,7.17,4,Unplaced
2008A0062A,Humanities and Social Sciences,B.E,6.57,4,Tata Consultancy Services (TCS)
2008H0063H,Economics and Finanace,M.E,6.46,4,Deutsche Bank
2008P0065P,Electrical and Electronics Engineering,B.Pharm,6.4,4,Unplaced
2008H0073H,Pharmacy,M.E,5.77,4,Unplaced
2008H0074H,Electrical and Electronics Engineering,M.E,5.37,4,Honeywell
2008P0075P,Mechanical Engineering,B.Pharm,7.0,4,Mercedes Benz
2008S0080S,Mechanical Engineering,M.Sc,9.92,4,Caterpillar Inc.
2008D0081D,Economics and Finanace,Ph.D,9.83,4,Fitch Ratings
2008H0084H,Humanities and Social Sciences,M.E,6.87,4,Unplaced
2008A0086A,Economics and Finanace,B.E,9.99,4,IHS Markit
2008A0089A,Economics and Finanace,B.E,6.56,4,American Express
2008A0091A,Humanities and Social Sciences,B.E,5.49,4,Google
2008S0096S,Mathematics,M.Sc,5.8,4,Unplaced
2008A0097A,Humanities and Social Sciences,B.E,6.16,4,Unplaced
2008H0098H,Pharmacy,M.E,5.92,4,Elucidata
2008A0100A,Humanities and Social Sciences,B.E,7.96,4,Microsoft
2008H0104H,Economics and Finanace,M.E,6.63,4,KPMG
2008A0105A,Chemical Engineering,B.E,6.31,4,SABIC
2008A0107A,Mechanical Engineering,B.E,6.94,4,ANAND
2008H0117H,Chemisty,M.E,5.94,4,SABIC
2008A0120A,Electrical and Electronics Engineering,B.E,9.82,4,SynOPSYS
2008A0121A,Electrical and Electronics Engineering,B.E,8.42,4,MathWorks
2008S0122S,Physics,M.Sc,9.2,4,Unplaced
2008A0126A,Humanities and Social Sciences,B.E,7.83,4,Unplaced
2008A0136A,Physics,B.E,8.05,4,MEDIATEK
2008D0142D,Chemisty,Ph.D,9.81,4,SABIC
2008A0145A,Civil Engineering,B.E,8.81,4,Acciona
2008A0147A,Pharmacy,B.E,7.07,4,Ipca Laboratories
2008A0154A,Chemical Engineering,B.E,8.98,4,PPG Industries
2008P0160P,Chemical Engineering,B.Pharm,8.13,4,Occidental Petroleum Corporation (OxyChem)
2008S0162S,Humanities and Social Sciences,M.Sc,7.28,4,Unplaced
2008D0171D,Chemisty,Ph.D,7.97,4,Unplaced
2008A0173A,Chemical Engineering,B.E,9.94,4,Covestro
2008A0180A,Mechanical Engineering,B.E,8.25,4,Honda
2008H0182H,Electrical and Electronics Engineering,M.E,8.08,4,NEC Corporation
2008H0184H,Chemisty,M.E,8.76,4,Unplaced
2008A0195A,Electrical and Electronics Engineering,B.E,9.3,4,Unplaced
2008D0200D,Electrical and Electronics Engineering,Ph.D,7.53,4,MEDIATEK
2008A0207A,Biological Sciences,B.E,6.22,4,Alkem Laboratories
2008P0225P,Biological Sciences,B.Pharm,7.76,4,Glenmark Pharmaceuticals
2008A0226A,Civil Engineering,B.E,6.61,4,Unplaced
2008A0230A,Electrical and Electronics Engineering,B.E,5.34,4,Hitachi
2008S0232S,Economics and Finanace,M.Sc,5.43,4,KPMG
2008A0235A,Humanities and Social Sciences,B.E,6.84,4,Infosys
2008A0237A,Chemisty,B.E,5.03,4,Unplaced
2008D0240D,Economics and Finanace,Ph.D,5.01,4,IHS Markit
2008A0245A,Biological Sciences,B.E,9.61,4,Emcure Pharmaceuticals
2008A0246A,Physics,B.E,9.48,4,Tenstorrent
2008A0248A,Mathematics,B.E,5.67,4,Microsoft
2008A0258A,Civil Engineering,B.E,7.26,4,Mott MacDonald
2008A0265A,Biological Sciences,B.E,9.76,4,Unplaced
2008A0269A,Chemisty,B.E,5.99,4,Chevron
2008P0275P,Chemical Engineering,B.Pharm,5.21,4,Honeywell UOP
2008A0276A,Biological Sciences,B.E,5.84,4,КАВІ
2008P0277P,Electrical and Electronics Engineering,B.Pharm,7.48,4,Unplaced
2008A0282A,Pharmacy,B.E,6.48,4,Unplaced
2008H0284H,Computer Science and Information Systems,M.E,6.92,4,Secureworks
2008A0288A,Humanities and Social Sciences,B.E,7.72,4,Flipkart
2008A0292A,Computer Science and Information Systems,B.E,5.29,4,Secureworks
2008P0296P,Civil Engineering,B.Pharm,7.88,4,RAMBOLL
2008S0301S,Mechanical Engineering,M.Sc,9.74,4,JK Fenner
2008A0302A,Mathematics,B.E,6.55,4,Amazon
2008A0304A,Mechanical Engineering,B.E,6.09,4,ARUP
2008H0310H,Chemical Engineering,M.E,6.87,4,Praxair
2008A0313A,Physics,B.E,9.74,4,proteanTecs
2008A0318A,Physics,B.E,9.74,4,Unplaced
2008A0328A,Biological Sciences,B.E,6.93,4,КАВІ
2008H0329H,Chemisty,M.E,9.42,4,Aizant
2008H0330H,Electrical and Electronics Engineering,M.E,6.76,4,Micron
2008A0337A,Economics and Finanace,B.E,7.97,4,Deloitte
2008A0343A,Chemical Engineering,B.E,5.25,4,Dow
2008A0345A,Electrical and Electronics Engineering,B.E,5.44,4,Renesas Electronics
2008A0350A,Chemical Engineering,B.E,8.21,4,Unplaced
2008P0351P,Chemisty,B.Pharm,6.86,4,freyr
2008A0356A,Chemical Engineering,B.E,8.34,4,Bayer
2008P0358P,Electrical and Electronics Engineering,B.Pharm,9.09,4,Unplaced
2008A0359A,Mathematics,B.E,8.44,4,Cisco
2008P0360P,Mechanical Engineering,B.Pharm,9.41,4,Rolls-Royce
2008A0363A,Chemical Engineering,B.E,9.75,4,Dow
2008H0366H,Biological Sciences,M.E,7.12,4,PEISION MEDICINE SOLUTIONS
2008H0369H,Chemical Engineering,M.E,6.94,4,Unplaced
2008A0372A,Physics,B.E,8.12,4,MathWorks
2008A0377A,Electrical and Electronics Engineering,B.E,6.32,4,STMicroelectronics
2008D0380D,Mechanical Engineering,Ph.D,8.04,4,ARUP
2008H0382H,Physics,M.E,6.19,4,Unplaced
2008P0385P,Computer Science and Information Systems,B.Pharm,6.4,4,CONFLUENT
