Student ID,Course,Degree,CGPA,Year,Placement
2009P0004P,Computer Science and Information Systems,B.Pharm,5.29,4,Intel
2009H0008H,Civil Engineering,M.E,7.88,4,"Daelim Industrial Co., Ltd."
2009H0013H,Mechanical Engineering,M.E,9.74,4,ABB
2009A0014A,Mathematics,B.E,6.55,4,Pharmo Solutions
2009A0016A,Mechanical Engineering,B.E,6.09,4,General Electric (GE)
2009A0022A,Chemical Engineering,B.E,6.87,4,Occidental Petroleum Corporation (OxyChem)
2009A0025A,Physics,B.E,9.74,4,STMicroelectronics
2009H0030H,Physics,M.E,9.74,4,MathWorks
2009D0040D,Biological Sciences,Ph.D,6.93,4,Wockhardt
2009A0041A,Chemisty,B.E,9.42,4,Unplaced
2009A0042A,Electrical and Electronics Engineering,B.E,6.76,4,Xilinx
2009P0049P,Economics and Finanace,B.Pharm,7.97,4,Unplaced
2009A0055A,Chemical Engineering,B.E,5.25,4,Wood Group
2009H0057H,Electrical and Electronics Engineering,M.E,5.44,4,Renesas Electronics
2009A0062A,Chemical Engineering,B.E,8.21,4,Procter & Gamble
2009A0063A,Chemisty,B.E,6.86,4,Dow
2009S0068S,Chemical Engineering,M.Sc,8.34,4,Chevron
2009A0070A,Electrical and Electronics Engineering,B.E,9.09,4,NEC Corporation
2009A0071A,Mathematics,B.E,8.44,4,Pharmo Solutions
2009D0072D,Mechanical Engineering,Ph.D,9.41,4,Lime
2009H0075H,Chemical Engineering,M.E,9.75,4,Praxair
2009A0078A,Biological Sciences,B.E,7.12,4,Aragen
2009A0081A,Chemical Engineering,B.E,6.94,4,LyondellBasell
2009P0084P,Mechanical Engineering,B.Pharm,7.94,4,Lockheed Martin
2009S0089S,Electrical and Electronics Engineering,M.Sc,6.32,4,STMicroelectronics
2009A0092A,Mechanical Engineering,B.E,8.04,4,Procter & Gamble
2009A0094A,Physics,B.E,6.19,4,onsemi
2009H0097H,Computer Science and Information Systems,M.E,6.4,4,Western Digital
2009H0099H,Chemisty,M.E,6.5,4,Unplaced
2009A0100A,Economics and Finanace,B.E,6.35,4,Fitch Ratings
2009A0102A,Humanities and Social Sciences,B.E,6.06,4,Flipkart
2009H0105H,Chemical Engineering,M.E,6.56,4,Unplaced
2009A0108A,Biological Sciences,B.E,6.25,4,Unplaced
2009A0110A,Computer Science and Information Systems,B.E,6.84,4,Piramal
2009P0116P,Chemical Engineering,B.Pharm,6.43,4,Unplaced
2009P0123P,Pharmacy,B.Pharm,6.38,4,Biocon
2009A0125A,Humanities and Social Sciences,B.E,6.51,4,Aditya Birla Group
2009H0128H,Computer Science and Information Systems,M.E,8.42,4,Teradata
2009A0133A,Biological Sciences,B.E,9.03,4,Unplaced
2009H0135H,Physics,M.E,5.13,4,MICROCHIP
2009P0136P,Computer Science and Information Systems,B.Pharm,6.3,4,Samsung
2009H0140H,Pharmacy,M.E,7.67,4,Unplaced
2009A0149A,Humanities and Social Sciences,B.E,9.26,4,Cognizant
2009A0155A,Electrical and Electronics Engineering,B.E,9.94,4,onsemi
2009A0160A,Mechanical Engineering,B.E,8.82,4,TATA
2009D0161D,Chemical Engineering,Ph.D,5.65,4,LyondellBasell
2009P0162P,Pharmacy,B.Pharm,7.15,4,Biocon
2009A0168A,Computer Science and Information Systems,B.E,5.64,4,Texas Instruments
2009H0173H,Economics and Finanace,M.E,9.98,4,Capital IQ
2009S0182S,Biological Sciences,M.Sc,8.45,4,AstraZeneca
2009H0194H,Chemisty,M.E,5.2,4,Aizant
2009A0195A,Civil Engineering,B.E,8.44,4,Orascom Construction
2009P0210P,Chemisty,B.Pharm,5.57,4,SABIC
2009H0211H,Humanities and Social Sciences,M.E,6.36,4,Hindustan Unilever Limited (HUL)
2009A0212A,Physics,B.E,9.25,4,Panasonic
2009A0215A,Chemisty,B.E,5.52,4,Sun Pharmaceutical Industries
2009A0225A,Humanities and Social Sciences,B.E,6.73,4,ITC Limited
2009H0228H,Mathematics,M.E,9.24,4,Trilogy
2009A0229A,Chemisty,B.E,5.37,4,Unplaced
2009P0231P,Biological Sciences,B.Pharm,7.53,4,GSK Pharmaceuticals
2009H0233H,Humanities and Social Sciences,M.E,7.22,4,Capgemini
2009A0234A,Chemical Engineering,B.E,9.28,4,Baker Hughes
2009A0235A,Economics and Finanace,B.E,5.59,4,Accenture
2009S0239S,Mathematics,M.Sc,7.81,4,Intel
2009D0242D,Mathematics,Ph.D,8.84,4,Flipkart
2009A0243A,Physics,B.E,8.29,4,Unplaced
2009P0247P,Chemisty,B.Pharm,7.46,4,FRESENIUS
2009S0249S,Civil Engineering,M.Sc,5.6,4,Unplaced
2009H0251H,Physics,M.E,6.69,4,Intel
2009A0255A,Mathematics,B.E,9.68,4,Google
2009A0259A,Mathematics,B.E,9.41,4,Trilogy
2009A0270A,Economics and Finanace,B.E,7.81,4,BlackRock
2009H0280H,Physics,M.E,8.24,4,STMicroelectronics
2009A0282A,Physics,B.E,8.32,4,Tenstorrent
2009H0285H,Civil Engineering,M.E,8.1,4,Orascom Construction
2009A0301A,Electrical and Electronics Engineering,B.E,7.72,4,Altera
2009A0304A,Computer Science and Information Systems,B.E,6.09,4,PEGA
2009D0311D,Mathematics,Ph.D,9.01,4,Google
2009P0317P,Civil Engineering,B.Pharm,7.69,4,Unplaced
2009A0323A,Computer Science and Information Systems,B.E,7.04,4,Samsung
2009A0330A,Mechanical Engineering,B.E,5.43,4,Unplaced
2009A0336A,Chemical Engineering,B.E,5.21,4,Dow
2009A0344A,Chemical Engineering,B.E,5.99,4,Unplaced
2009A0347A,Civil Engineering,B.E,6.59,4,Unplaced
2009D0360D,Mathematics,Ph.D,8.16,4,Unplaced
2009H0362H,Mathematics,M.E,6.3,4,Mediatek
2009A0371A,Biological Sciences,B.E,6.09,4,Unplaced
2009H0375H,Electrical and Electronics Engineering,M.E,7.35,4,Unplaced
2009A0384A,Mathematics,B.E,9.41,4,Teradata
2009A0389A,Physics,B.E,5.57,4,Infineon
2009A0395A,Computer Science and Information Systems,B.E,9.61,4,Trilogy
2009D0398D,Civil Engineering,Ph.D,7.25,4,Unplaced
2009A0399A,Humanities and Social Sciences,B.E,5.85,4,Cognizant
2009A0405A,Chemical Engineering,B.E,5.08,4,Monsanto
2009H0410H,Pharmacy,M.E,8.25,4,Dr. Reddys Laboratories
2009A0411A,Economics and Finanace,B.E,9.37,4,Unplaced
2009A0412A,Civil Engineering,B.E,9.69,4,Unplaced
2009H0414H,Electrical and Electronics Engineering,M.E,5.67,4,ON Semiconductor
2009A0416A,Computer Science and Information Systems,B.E,7.99,4,Unplaced
2009H0422H,Computer Science and Information Systems,M.E,9.27,4,Unplaced
2009A0425A,Electrical and Electronics Engineering,B.E,7.76,4,INSTRUMENTS
2009A0426A,Chemisty,B.E,6.85,4,Linde
2009A0431A,Chemical Engineering,B.E,6.07,4,Unplaced
2009A0434A,Chemical Engineering,B.E,9.12,4,LyondellBasell
2009A0437A,Mechanical Engineering,B.E,5.19,4,Ford Motor Company
2009S0440S,Chemisty,M.Sc,8.2,4,Unplaced
2009D0446D,Electrical and Electronics Engineering,Ph.D,6.77,4,Unplaced
2009A0457A,Physics,B.E,7.21,4,Infineon
2009A0459A,Economics and Finanace,B.E,9.81,4,Unplaced
2009S0474S,Chemical Engineering,M.Sc,9.6,4,AkzoNobel
2009H0480H,Biological Sciences,M.E,7.63,4,Cadila Healthcare
2009A0483A,Humanities and Social Sciences,B.E,9.88,4,Hindustan Unilever Limited (HUL)
2009P0489P,Economics and Finanace,B.Pharm,5.92,4,Unplaced
2009D0495D,Mathematics,Ph.D,7.16,4,BLEND360
2009A0508A,Computer Science and Information Systems,B.E,6.78,4,Mashreq
2009H0510H,Electrical and Electronics Engineering,M.E,8.07,4,CISCO
2009P0513P,Electrical and Electronics Engineering,B.Pharm,8.16,4,SynOPSYS
2009A0516A,Physics,B.E,6.34,4,NXP Semiconductors
2009D0518D,Physics,Ph.D,7.93,4,Unplaced
2009A0523A,Chemical Engineering,B.E,5.32,4,Merck
