Student ID,Course,Degree,CGPA,Year
2019A0001A,Civil Engineering,B.E,8.65,4
2019A0002A,Economics and Finanace,B.E,5.74,4
2019P0003P,Chemical Engineering,B.Pharm,7.48,4
2019A0004A,Chemisty,B.E,9.08,2
2019H0005H,Civil Engineering,M.E,7.85,2
2019A0006A,Pharmacy,B.E,6.41,3
2019A0007A,Chemisty,B.E,9.43,4
2019H0008H,Pharmacy,M.E,8.04,1
2019P0009P,Chemisty,B.Pharm,5.36,2
2019A0010A,Humanities and Social Sciences,B.E,9.55,4
2019A0011A,Chemical Engineering,B.E,8.62,2
2019S0012S,Physics,M.Sc,8.75,1
2019S0013S,Mechanical Engineering,M.Sc,5.5,4
2019H0014H,Biological Sciences,M.E,5.55,1
2019A0015A,Pharmacy,B.E,9.67,2
2019H0016H,Civil Engineering,M.E,8.85,3
2019A0017A,Chemisty,B.E,9.69,1
2019A0018A,Biological Sciences,B.E,9.79,1
2019H0019H,Mathematics,M.E,8.68,3
2019H0020H,Physics,M.E,5.42,2
2019A0021A,Humanities and Social Sciences,B.E,8.8,4
2019P0022P,Chemisty,B.Pharm,6.54,4
2019H0023H,Chemisty,M.E,6.22,3
2019D0024D,Pharmacy,Ph.D,7.72,1
2019S0025S,Biological Sciences,M.Sc,5.51,3
2019D0026D,Chemical Engineering,Ph.D,7.56,4
2019A0027A,Chemisty,B.E,5.01,2
2019H0028H,Biological Sciences,M.E,6.13,4
2019A0029A,Chemisty,B.E,6.77,3
2019A0030A,Civil Engineering,B.E,9.61,4
2019D0031D,Pharmacy,Ph.D,9.42,1
2019A0032A,Humanities and Social Sciences,B.E,5.85,1
2019A0033A,Civil Engineering,B.E,5.51,3
2019H0034H,Economics and Finanace,M.E,5.38,3
2019D0035D,Chemical Engineering,Ph.D,6.8,1
2019A0036A,Biological Sciences,B.E,8.02,2
2019A0037A,Electrical and Electronics Engineering,B.E,7.65,2
2019H0038H,Pharmacy,M.E,7.13,3
2019A0039A,Mechanical Engineering,B.E,9.09,3
2019H0040H,Chemical Engineering,M.E,6.36,4
2019A0041A,Pharmacy,B.E,6.85,3
2019A0042A,Physics,B.E,8.99,1
2019A0043A,Chemisty,B.E,8.89,2
2019A0044A,Economics and Finanace,B.E,5.74,4
2019H0045H,Physics,M.E,8.98,4
2019A0046A,Chemical Engineering,B.E,5.57,4
2019P0047P,Computer Science and Information Systems,B.Pharm,5.72,3
2019A0048A,Chemisty,B.E,5.91,4
2019A0049A,Economics and Finanace,B.E,6.6,4
2019H0050H,Humanities and Social Sciences,M.E,8.47,4
2019H0051H,Mechanical Engineering,M.E,8.97,3
2019P0052P,Chemisty,B.Pharm,9.01,2
2019A0053A,Electrical and Electronics Engineering,B.E,7.09,4
2019P0054P,Humanities and Social Sciences,B.Pharm,7.66,2
2019S0055S,Electrical and Electronics Engineering,M.Sc,5.42,4
2019A0056A,Mathematics,B.E,7.89,2
2019P0057P,Chemical Engineering,B.Pharm,6.18,1
2019A0058A,Civil Engineering,B.E,9.97,1
2019P0059P,Economics and Finanace,B.Pharm,7.79,2
2019A0060A,Chemical Engineering,B.E,5.3,3
2019A0061A,Economics and Finanace,B.E,9.24,2
2019A0062A,Computer Science and Information Systems,B.E,7.3,4
2019S0063S,Civil Engineering,M.Sc,6.05,2
2019H0064H,Biological Sciences,M.E,8.73,1
2019D0065D,Physics,Ph.D,8.52,4
2019A0066A,Physics,B.E,5.13,4
2019H0067H,Economics and Finanace,M.E,5.27,1
2019A0068A,Pharmacy,B.E,7.91,4
2019D0069D,Mechanical Engineering,Ph.D,9.35,1
2019A0070A,Chemisty,B.E,6.83,1
2019A0071A,Civil Engineering,B.E,5.39,4
2019A0072A,Chemisty,B.E,8.83,4
2019A0073A,Physics,B.E,5.7,3
2019P0074P,Humanities and Social Sciences,B.Pharm,7.06,3
2019H0075H,Humanities and Social Sciences,M.E,8.91,1
2019A0076A,Computer Science and Information Systems,B.E,5.56,1
2019A0077A,Pharmacy,B.E,5.16,2
2019A0078A,Mathematics,B.E,5.8,4
2019S0079S,Electrical and Electronics Engineering,M.Sc,8.4,4
2019A0080A,Mathematics,B.E,8.56,3
2019D0081D,Mechanical Engineering,Ph.D,7.51,2
2019A0082A,Electrical and Electronics Engineering,B.E,9.66,3
2019A0083A,Chemical Engineering,B.E,7.61,2
2019H0084H,Physics,M.E,6.06,1
2019A0085A,Civil Engineering,B.E,6.96,1
2019A0086A,Physics,B.E,7.34,3
2019S0087S,Pharmacy,M.Sc,8.21,4
2019A0088A,Chemisty,B.E,5.27,3
2019A0089A,Pharmacy,B.E,7.12,3
2019A0090A,Chemical Engineering,B.E,5.52,3
2019S0091S,Mechanical Engineering,M.Sc,8.89,3
2019H0092H,Biological Sciences,M.E,6.2,2
2019H0093H,Mathematics,M.E,5.53,2
2019H0094H,Mechanical Engineering,M.E,5.05,3
2019A0095A,Civil Engineering,B.E,7.76,1
2019H0096H,Civil Engineering,M.E,6.35,1
2019H0097H,Mechanical Engineering,M.E,9.93,4
2019D0098D,Biological Sciences,Ph.D,5.24,1
2019A0099A,Computer Science and Information Systems,B.E,5.04,3
2019A0100A,Computer Science and Information Systems,B.E,9.79,2
2019H0101H,Economics and Finanace,M.E,8.76,3
2019A0102A,Chemisty,B.E,8.51,1
2019A0103A,Economics and Finanace,B.E,7.04,1
2019D0104D,Mathematics,Ph.D,9.04,2
2019H0105H,Biological Sciences,M.E,7.94,4
2019P0106P,Humanities and Social Sciences,B.Pharm,7.93,1
2019D0107D,Computer Science and Information Systems,Ph.D,5.81,4
2019A0108A,Chemical Engineering,B.E,9.43,1
2019A0109A,Physics,B.E,6.16,2
2019A0110A,Pharmacy,B.E,8.27,2
2019S0111S,Mathematics,M.Sc,7.58,3
2019S0112S,Humanities and Social Sciences,M.Sc,8.93,3
2019P0113P,Computer Science and Information Systems,B.Pharm,6.8,4
2019A0114A,Biological Sciences,B.E,9.45,4
2019A0115A,Civil Engineering,B.E,6.04,1
2019A0116A,Chemisty,B.E,7.83,4
2019A0117A,Chemical Engineering,B.E,9.02,2
2019H0118H,Computer Science and Information Systems,M.E,7.74,1
2019A0119A,Humanities and Social Sciences,B.E,5.47,3
2019A0120A,Chemisty,B.E,9.67,2
2019P0121P,Chemical Engineering,B.Pharm,6.4,3
2019S0122S,Economics and Finanace,M.Sc,5.45,2
2019A0123A,Physics,B.E,8.86,3
2019H0124H,Humanities and Social Sciences,M.E,9.89,4
2019A0125A,Pharmacy,B.E,9.62,1
2019A0126A,Mechanical Engineering,B.E,7.44,3
2019A0127A,Computer Science and Information Systems,B.E,7.0,2
2019P0128P,Humanities and Social Sciences,B.Pharm,6.83,3
2019A0129A,Economics and Finanace,B.E,5.42,4
2019A0130A,Mathematics,B.E,7.25,1
2019A0131A,Mechanical Engineering,B.E,9.89,1
2019A0132A,Physics,B.E,8.95,1
2019A0133A,Chemisty,B.E,9.27,3
2019A0134A,Electrical and Electronics Engineering,B.E,5.79,4
2019A0135A,Chemical Engineering,B.E,6.12,4
2019S0136S,Pharmacy,M.Sc,5.47,4
2019A0137A,Humanities and Social Sciences,B.E,8.21,4
2019S0138S,Chemical Engineering,M.Sc,5.43,1
