Student ID,Course,Degree,CGPA,Year
2021D0001D,Electrical and Electronics Engineering,Ph.D,7.77,3
2021A0002A,Computer Science and Information Systems,B.E,5.43,4
2021S0003S,Mathematics,M.Sc,5.92,4
2021P0004P,Chemical Engineering,B.Pharm,5.69,4
2021A0005A,Physics,B.E,6.57,3
2021H0006H,Humanities and Social Sciences,M.E,6.77,4
2021H0007H,Electrical and Electronics Engineering,M.E,9.81,4
2021H0008H,Biological Sciences,M.E,9.56,1
2021D0009D,Electrical and Electronics Engineering,Ph.D,5.44,2
2021P0010P,Mechanical Engineering,B.Pharm,9.53,2
2021A0011A,Mechanical Engineering,B.E,7.56,2
2021A0012A,Mechanical Engineering,B.E,7.72,3
2021A0013A,Biological Sciences,B.E,8.78,4
2021A0014A,Chemisty,B.E,7.01,1
2021P0015P,Humanities and Social Sciences,B.Pharm,9.04,4
2021A0016A,Biological Sciences,B.E,5.42,3
2021A0017A,Pharmacy,B.E,5.54,1
2021A0018A,Computer Science and Information Systems,B.E,7.83,3
2021A0019A,Biological Sciences,B.E,5.61,1
2021A0020A,Physics,B.E,6.03,2
2021H0021H,Mathematics,M.E,8.7,4
2021A0022A,Chemisty,B.E,6.12,2
2021A0023A,Computer Science and Information Systems,B.E,8.14,1
2021A0024A,Humanities and Social Sciences,B.E,8.12,2
2021H0025H,Chemical Engineering,M.E,5.34,2
2021A0026A,Mechanical Engineering,B.E,9.4,1
2021A0027A,Civil Engineering,B.E,6.02,4
2021D0028D,Biological Sciences,Ph.D,9.16,4
2021D0029D,Electrical and Electronics Engineering,Ph.D,5.28,1
2021P0030P,Computer Science and Information Systems,B.Pharm,7.02,2
2021A0031A,Civil Engineering,B.E,9.21,3
2021A0032A,Mechanical Engineering,B.E,8.41,1
2021P0033P,Electrical and Electronics Engineering,B.Pharm,5.73,1
2021H0034H,Chemisty,M.E,5.71,2
2021A0035A,Chemisty,B.E,7.56,2
2021A0036A,Humanities and Social Sciences,B.E,7.4,3
2021H0037H,Pharmacy,M.E,5.5,4
2021S0038S,Economics and Finanace,M.Sc,8.34,4
2021A0039A,Electrical and Electronics Engineering,B.E,8.49,1
2021A0040A,Humanities and Social Sciences,B.E,7.08,4
2021H0041H,Chemisty,M.E,5.14,4
2021A0042A,Chemical Engineering,B.E,7.82,1
2021A0043A,Mechanical Engineering,B.E,6.51,4
2021S0044S,Biological Sciences,M.Sc,9.54,3
2021A0045A,Chemisty,B.E,7.34,4
2021A0046A,Computer Science and Information Systems,B.E,5.05,2
2021A0047A,Economics and Finanace,B.E,7.5,2
2021S0048S,Economics and Finanace,M.Sc,9.51,4
2021A0049A,Mathematics,B.E,5.31,2
2021H0050H,Economics and Finanace,M.E,8.28,3
2021A0051A,Humanities and Social Sciences,B.E,8.58,2
2021A0052A,Computer Science and Information Systems,B.E,8.92,3
2021A0053A,Electrical and Electronics Engineering,B.E,5.34,4
2021D0054D,Electrical and Electronics Engineering,Ph.D,9.81,2
2021A0055A,Mechanical Engineering,B.E,8.54,3
2021A0056A,Chemisty,B.E,8.49,3
2021S0057S,Mechanical Engineering,M.Sc,8.09,4
2021H0058H,Chemical Engineering,M.E,5.22,2
2021H0059H,Civil Engineering,M.E,5.48,1
2021A0060A,Humanities and Social Sciences,B.E,9.67,4
2021A0061A,Economics and Finanace,B.E,8.8,2
2021A0062A,Chemical Engineering,B.E,9.5,2
2021P0063P,Electrical and Electronics Engineering,B.Pharm,8.78,4
2021A0064A,Chemical Engineering,B.E,5.31,3
2021P0065P,Chemical Engineering,B.Pharm,5.19,1
2021A0066A,Humanities and Social Sciences,B.E,8.82,1
2021A0067A,Chemisty,B.E,6.61,4
2021P0068P,Electrical and Electronics Engineering,B.Pharm,5.67,2
2021S0069S,Civil Engineering,M.Sc,6.26,4
2021A0070A,Pharmacy,B.E,6.43,2
2021A0071A,Physics,B.E,5.81,2
2021A0072A,Chemical Engineering,B.E,7.91,1
2021H0073H,Civil Engineering,M.E,5.17,2
2021H0074H,Biological Sciences,M.E,6.8,4
2021A0075A,Mechanical Engineering,B.E,7.73,1
2021A0076A,Economics and Finanace,B.E,5.93,4
2021A0077A,Civil Engineering,B.E,9.16,4
2021A0078A,Mathematics,B.E,6.76,2
