Student ID,Course,Degree,CGPA,Year
2017S0001S,Mathematics,M.Sc,8.96,4
2017S0002S,Pharmacy,M.Sc,9.06,1
2017A0003A,Civil Engineering,B.E,9.23,3
2017S0004S,Economics and Finanace,M.Sc,6.21,1
2017A0005A,Pharmacy,B.E,9.94,2
2017A0006A,Mechanical Engineering,B.E,9.36,3
2017A0007A,Chemisty,B.E,7.21,1
2017D0008D,Chemical Engineering,Ph.D,9.35,1
2017A0009A,Civil Engineering,B.E,5.26,2
2017A0010A,Civil Engineering,B.E,5.63,2
2017P0011P,Mechanical Engineering,B.Pharm,7.74,2
2017A0012A,Civil Engineering,B.E,7.54,4
2017A0013A,Physics,B.E,7.34,2
2017A0014A,Physics,B.E,5.99,4
2017A0015A,Chemisty,B.E,8.03,3
2017A0016A,Computer Science and Information Systems,B.E,7.88,2
2017D0017D,Computer Science and Information Systems,Ph.D,9.31,4
2017S0018S,Chemical Engineering,M.Sc,9.76,3
2017A0019A,Electrical and Electronics Engineering,B.E,6.89,4
2017H0020H,Humanities and Social Sciences,M.E,7.11,4
2017A0021A,Chemisty,B.E,9.1,4
2017A0022A,Biological Sciences,B.E,8.81,4
2017A0023A,Chemical Engineering,B.E,8.79,3
2017P0024P,Mechanical Engineering,B.Pharm,7.69,2
2017A0025A,Computer Science and Information Systems,B.E,6.9,3
2017D0026D,Humanities and Social Sciences,Ph.D,6.42,4
2017A0027A,Chemical Engineering,B.E,6.67,4
2017A0028A,Civil Engineering,B.E,5.77,2
2017D0029D,Biological Sciences,Ph.D,5.06,3
2017P0030P,Humanities and Social Sciences,B.Pharm,7.02,4
2017A0031A,Electrical and Electronics Engineering,B.E,9.85,3
2017A0032A,Electrical and Electronics Engineering,B.E,7.45,1
2017A0033A,Electrical and Electronics Engineering,B.E,9.42,1
2017P0034P,Electrical and Electronics Engineering,B.Pharm,9.66,2
2017H0035H,Civil Engineering,M.E,8.81,3
2017S0036S,Physics,M.Sc,6.74,4
2017S0037S,Pharmacy,M.Sc,8.44,1
2017A0038A,Pharmacy,B.E,6.93,4
2017A0039A,Physics,B.E,6.23,4
2017A0040A,Biological Sciences,B.E,9.61,3
2017A0041A,Pharmacy,B.E,8.53,1
2017A0042A,Physics,B.E,8.33,2
2017H0043H,Computer Science and Information Systems,M.E,8.03,2
2017A0044A,Computer Science and Information Systems,B.E,6.24,2
2017S0045S,Biological Sciences,M.Sc,5.58,1
2017D0046D,Pharmacy,Ph.D,8.56,4
2017P0047P,Electrical and Electronics Engineering,B.Pharm,8.53,1
2017H0048H,Mathematics,M.E,9.55,4
2017A0049A,Chemisty,B.E,9.15,3
2017H0050H,Physics,M.E,6.51,4
2017H0051H,Mechanical Engineering,M.E,6.54,4
2017A0052A,Physics,B.E,9.35,1
2017A0053A,Pharmacy,B.E,7.86,3
2017A0054A,Chemisty,B.E,6.35,2
2017H0055H,Physics,M.E,6.99,3
2017A0056A,Biological Sciences,B.E,9.94,4
2017A0057A,Biological Sciences,B.E,5.48,4
2017H0058H,Mathematics,M.E,7.08,3
2017A0059A,Physics,B.E,7.15,2
2017P0060P,Economics and Finanace,B.Pharm,5.93,2
2017P0061P,Civil Engineering,B.Pharm,7.43,1
2017A0062A,Humanities and Social Sciences,B.E,7.84,2
2017A0063A,Chemisty,B.E,6.0,2
2017D0064D,Civil Engineering,Ph.D,6.3,4
2017A0065A,Humanities and Social Sciences,B.E,8.13,1
2017A0066A,Pharmacy,B.E,5.83,3
2017A0067A,Chemical Engineering,B.E,6.89,3
2017A0068A,Chemical Engineering,B.E,6.71,2
2017A0069A,Humanities and Social Sciences,B.E,7.43,1
2017A0070A,Biological Sciences,B.E,5.31,1
2017A0071A,Pharmacy,B.E,7.91,1
2017S0072S,Chemical Engineering,M.Sc,6.06,1
2017A0073A,Electrical and Electronics Engineering,B.E,8.01,3
2017A0074A,Humanities and Social Sciences,B.E,7.37,3
2017H0075H,Mechanical Engineering,M.E,7.15,3
2017A0076A,Pharmacy,B.E,9.45,3
2017A0077A,Civil Engineering,B.E,9.7,4
2017A0078A,Electrical and Electronics Engineering,B.E,8.05,3
2017H0079H,Economics and Finanace,M.E,9.03,1
2017A0080A,Humanities and Social Sciences,B.E,9.35,4
2017H0081H,Physics,M.E,9.18,2
2017A0082A,Biological Sciences,B.E,8.01,3
2017D0083D,Physics,Ph.D,8.76,2
2017A0084A,Economics and Finanace,B.E,7.26,4
2017P0085P,Electrical and Electronics Engineering,B.Pharm,8.3,1
2017S0086S,Pharmacy,M.Sc,9.79,3
2017H0087H,Biological Sciences,M.E,8.17,1
2017A0088A,Physics,B.E,6.63,4
2017H0089H,Civil Engineering,M.E,8.03,4
2017D0090D,Physics,Ph.D,8.06,1
2017A0091A,Economics and Finanace,B.E,7.14,4
2017A0092A,Pharmacy,B.E,9.29,1
2017A0093A,Physics,B.E,6.92,2
2017A0094A,Physics,B.E,5.72,1
2017A0095A,Chemisty,B.E,7.49,1
2017A0096A,Computer Science and Information Systems,B.E,9.16,4
2017H0097H,Chemisty,M.E,9.48,1
2017A0098A,Humanities and Social Sciences,B.E,8.31,2
2017S0099S,Civil Engineering,M.Sc,6.06,1
2017A0100A,Chemical Engineering,B.E,7.17,1
2017P0101P,Chemisty,B.Pharm,9.65,3
2017P0102P,Electrical and Electronics Engineering,B.Pharm,8.83,2
2017D0103D,Physics,Ph.D,6.29,4
2017S0104S,Pharmacy,M.Sc,5.62,2
2017S0105S,Mathematics,M.Sc,8.17,4
2017S0106S,Chemical Engineering,M.Sc,8.98,3
2017A0107A,Civil Engineering,B.E,9.66,1
2017A0108A,Pharmacy,B.E,6.72,4
2017A0109A,Pharmacy,B.E,8.21,4
2017A0110A,Civil Engineering,B.E,6.12,1
2017A0111A,Computer Science and Information Systems,B.E,5.44,1
2017A0112A,Economics and Finanace,B.E,8.7,2
2017P0113P,Chemical Engineering,B.Pharm,7.86,2
2017A0114A,Economics and Finanace,B.E,9.77,1
2017A0115A,Computer Science and Information Systems,B.E,5.31,2
2017H0116H,Electrical and Electronics Engineering,M.E,9.9,3
2017A0117A,Economics and Finanace,B.E,8.99,2
2017D0118D,Mathematics,Ph.D,8.32,2
2017A0119A,Chemical Engineering,B.E,6.98,4
2017D0120D,Economics and Finanace,Ph.D,5.72,3
2017A0121A,Civil Engineering,B.E,7.5,4
2017S0122S,Chemisty,M.Sc,8.01,2
2017H0123H,Physics,M.E,8.33,1
2017A0124A,Mechanical Engineering,B.E,6.6,1
2017A0125A,Computer Science and Information Systems,B.E,9.98,4
2017A0126A,Pharmacy,B.E,9.14,4
2017A0127A,Computer Science and Information Systems,B.E,8.52,4
2017P0128P,Biological Sciences,B.Pharm,9.91,3
2017H0129H,Chemisty,M.E,9.14,2
2017A0130A,Physics,B.E,9.67,2
2017P0131P,Biological Sciences,B.Pharm,9.62,2
2017P0132P,Humanities and Social Sciences,B.Pharm,8.64,3
2017D0133D,Pharmacy,Ph.D,9.56,2
2017D0134D,Biological Sciences,Ph.D,7.74,3
2017A0135A,Electrical and Electronics Engineering,B.E,8.39,3
2017S0136S,Electrical and Electronics Engineering,M.Sc,6.96,3
2017H0137H,Computer Science and Information Systems,M.E,8.48,2
2017D0138D,Physics,Ph.D,9.28,4
2017A0139A,Chemical Engineering,B.E,5.65,1
2017P0140P,Computer Science and Information Systems,B.Pharm,7.29,2
2017P0141P,Mechanical Engineering,B.Pharm,5.69,4
2017A0142A,Computer Science and Information Systems,B.E,9.49,2
2017A0143A,Civil Engineering,B.E,9.02,2
2017A0144A,Physics,B.E,8.26,3
2017A0145A,Physics,B.E,9.28,1
2017A0146A,Pharmacy,B.E,8.93,2
2017A0147A,Electrical and Electronics Engineering,B.E,9.75,4
2017P0148P,Pharmacy,B.Pharm,9.21,1
2017A0149A,Chemical Engineering,B.E,6.78,4
2017P0150P,Chemisty,B.Pharm,9.73,1
2017S0151S,Mathematics,M.Sc,8.25,4
2017H0152H,Chemisty,M.E,8.13,4
